Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
St. Joseph (Met.),29,2,31,0.9355,2150,1409,23.903,metuchen-st-joseph-met,GMC,0.5823,0.561,0.5752
St. Peter's Prep,28,4,32,0.875,2027,1282,23.281,jersey-city-st-peters-prep,HCIAL,0.6301,0.5845,0.6149
Shabazz,29,1,30,0.9667,2124,1426,23.267,newark-shabazz,SEC,0.5534,0.5329,0.5466
Thrive Charter,22,6,28,0.7857,1753,1168,20.893,hamilton-thrive-charter,BCSL,0.5939,0.5398,0.5758
Bergen Catholic,29,3,32,0.9062,2336,1680,20.5,oradell-bergen-catholic,Big North,0.6513,0.6009,0.6345
Cherry Hill East,25,4,29,0.8621,1928,1406,18.0,cherry-hill-cherry-hill-east,Olympic,0.5379,0.5435,0.5398
Gill St. Bernard's,28,2,30,0.9333,2101,1564,17.9,gladstone-gill-st-bernards,Skyland,0.6159,0.5927,0.6082
Holy Cross Prep,27,5,32,0.8438,1887,1316,17.844,delran-holy-cross-prep,BCSL,0.5457,0.5384,0.5433
Montgomery,26,5,31,0.8387,1984,1433,17.774,skillman-montgomery,Skyland,0.5547,0.5731,0.5608
Christian Brothers,24,4,28,0.8571,1893,1415,17.071,lincroft-christian-brothers,Shore,0.6606,0.5959,0.639
Plainfield,26,5,31,0.8387,2161,1652,16.419,plainfield-plainfield,UCC,0.5691,0.5883,0.5755
Cresskill,24,5,29,0.8276,1811,1336,16.379,cresskill-cresskill,NJIC,0.4864,0.5013,0.4914
Doane Academy,24,4,28,0.8571,1873,1429,15.857,burlington-doane-academy,BCSL,0.4664,0.4976,0.4768
Millburn,23,5,28,0.8214,1945,1502,15.821,millburn-millburn,SEC,0.4795,0.5392,0.4994
Haddonfield,25,5,30,0.8333,1706,1251,15.167,haddonfield-haddonfield,Colonial,0.5497,0.5308,0.5434
St. Mary (Ruth.),25,5,30,0.8333,2067,1624,14.767,rutherford-st-mary-ruth,NJIC,0.5833,0.5711,0.5792
Henry Hudson,18,9,27,0.6667,1740,1342,14.741,highlands-henry-hudson,Shore,0.4667,0.4907,0.4747
Parsippany,17,7,24,0.7083,1417,1065,14.667,parsippany-parsippany,NJAC,0.4304,0.4892,0.45
Emerson Boro,21,7,28,0.75,1617,1211,14.5,emerson-emerson-boro,NJIC,0.4731,0.4802,0.4755
Paul VI,25,5,30,0.8333,2032,1602,14.333,haddonfield-paul-vi,Olympic,0.6404,0.579,0.62
Chatham,24,6,30,0.8,1925,1512,13.767,chatham-chatham,NJAC,0.5436,0.556,0.5477
Morris Catholic,22,6,28,0.7857,2038,1655,13.679,denville-morris-catholic,NJAC,0.6216,0.5721,0.6051
Seton Hall Prep,20,7,27,0.7407,1766,1400,13.556,west-orange-seton-hall-prep,SEC,0.6385,0.5915,0.6228
Arts,19,9,28,0.6786,1835,1474,12.893,newark-arts,SEC,0.6124,0.5506,0.5918
Salem,22,6,28,0.7857,1783,1422,12.893,salem-salem,Tri-County,0.4865,0.4853,0.4861
Wall,21,3,24,0.875,1350,1041,12.875,wall-wall,Shore,0.531,0.5552,0.539
Trenton,21,8,29,0.7241,1974,1608,12.621,trenton-trenton,CVC,0.58,0.5373,0.5658
Piscataway,23,8,31,0.7419,2230,1839,12.613,piscataway-piscataway,GMC,0.5865,0.5488,0.574
Metuchen,24,5,29,0.8276,1733,1375,12.345,metuchen-metuchen,GMC,0.5011,0.4978,0.5
East Brunswick,21,7,28,0.75,1884,1545,12.107,east-brunswick-east-brunswick,GMC,0.5504,0.5497,0.5501
Ocean City,26,6,32,0.8125,1804,1420,12.0,ocean-city-ocean-city,Cape-Atlantic,0.5106,0.5245,0.5152
Bayonne,21,7,28,0.75,1860,1527,11.893,bayonne-bayonne,HCIAL,0.5595,0.5419,0.5536
Teaneck,24,5,29,0.8276,2085,1745,11.724,teaneck-teaneck,Big North,0.5777,0.5577,0.571
Lenape,21,10,31,0.6774,1866,1503,11.71,medford-lenape,Olympic,0.5921,0.5429,0.5757
Union,22,5,27,0.8148,1536,1220,11.704,union-union,UCC,0.5631,0.556,0.5607
Pleasantville,15,12,27,0.5556,1602,1287,11.667,pleasantville-pleasantville,Cape-Atlantic,0.4793,0.5097,0.4895
Haddon Township,21,7,28,0.75,1483,1157,11.643,westmont-haddon-township,Colonial,0.4637,0.4859,0.4711
Holy Spirit,20,7,27,0.7407,1460,1147,11.593,absecon-holy-spirit,Cape-Atlantic,0.5638,0.5166,0.548
Tenafly,24,3,27,0.8889,1695,1386,11.444,tenafly-tenafly,Big North,0.5955,0.5493,0.5801
Ewing,19,9,28,0.6786,1709,1389,11.429,ewing-ewing,CVC,0.5046,0.5272,0.5121
Vineland,21,6,27,0.7778,1591,1284,11.37,vineland-vineland,Cape-Atlantic,0.5039,0.5055,0.5044
Belvidere,14,11,25,0.56,1483,1199,11.36,belvidere-belvidere,Skyland,0.4234,0.4349,0.4272
Fair Lawn,15,9,24,0.625,1474,1205,11.208,fair-lawn-fair-lawn,Big North,0.4997,0.5074,0.5023
Paterson Eastside,22,6,28,0.7857,1576,1266,11.071,paterson-paterson-eastside,Big North,0.4801,0.5463,0.5022
Bloomfield,19,9,28,0.6786,1697,1394,10.821,bloomfield-bloomfield,SEC,0.4949,0.5158,0.5018
Pequannock,22,7,29,0.7586,1734,1424,10.69,pompton-plains-pequannock,NJAC,0.4866,0.4941,0.4891
Madison,20,10,30,0.6667,1942,1623,10.633,madison-madison,NJAC,0.5326,0.5508,0.5387
Hillsborough,22,8,30,0.7333,1900,1584,10.533,hillsborough-hillsborough,Skyland,0.5664,0.5456,0.5595
Ramsey,23,9,32,0.7188,1925,1591,10.438,ramsey-ramsey,Big North,0.5656,0.5201,0.5505
Lower Cape May,23,6,29,0.7931,1614,1313,10.379,erma-lower-cape-may,Cape-Atlantic,0.4686,0.502,0.4797
Delaware Valley,20,9,29,0.6897,1785,1491,10.138,alexandria-delaware-valley,Skyland,0.5117,0.5239,0.5158
Overbrook,18,9,27,0.6667,1495,1222,10.111,pine-hill-overbrook,Tri-County,0.5508,0.5091,0.5369
Immaculata,21,7,28,0.75,1988,1715,9.75,somerville-immaculata,Skyland,0.5393,0.5523,0.5436
Ridgefield Park,25,5,30,0.8333,1770,1479,9.7,ridgefield-park-ridgefield-park,Big North,0.4695,0.5104,0.4832
Wildwood,13,13,26,0.5,1412,1160,9.692,wildwood-wildwood,Tri-County,0.4423,0.4642,0.4496
Montville,23,6,29,0.7931,1767,1498,9.276,montville-montville,NJAC,0.5822,0.5487,0.5711
Cranford,18,9,27,0.6667,1642,1396,9.111,cranford-cranford,UCC,0.5339,0.533,0.5336
Caldwell,18,9,27,0.6667,1467,1222,9.074,west-caldwell-caldwell,SEC,0.5193,0.5386,0.5258
Cherokee,19,11,30,0.6333,1473,1201,9.067,marlton-cherokee,Olympic,0.5261,0.5218,0.5247
Eastern,24,6,30,0.8,1770,1499,9.033,voorhees-eastern,Olympic,0.4851,0.5325,0.5009
St. Benedict's,18,8,26,0.6923,1642,1409,8.962,newark-st-benedicts,SEC,0.6194,0.5822,0.607
Perth Amboy,22,6,28,0.7857,1709,1460,8.893,perth-amboy-perth-amboy,GMC,0.5125,0.5217,0.5156
