Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
Glassboro,14,0,14,1.0,621,76,38.929,glassboro-glassboro,WJFL,0.4247,0.5424,0.4639
Cherry Hill East,9,1,10,0.9,383,86,29.7,cherry-hill-cherry-hill-east,WJFL,0.3543,0.5115,0.4067
Manville,10,1,11,0.9091,431,110,29.182,manville-manville,Big Central,0.3236,0.4878,0.3783
Washington Township,14,0,14,1.0,535,154,27.214,sewell-washington-township,WJFL,0.4871,0.5513,0.5085
Sterling,9,1,10,0.9,333,72,26.1,somerdale-sterling,WJFL,0.3366,0.4466,0.3733
Winslow,12,2,14,0.8571,505,162,24.5,atco-winslow,WJFL,0.6002,0.5469,0.5825
New Providence,10,1,11,0.9091,377,112,24.091,new-providence-new-providence,Big Central,0.4981,0.5362,0.5108
Hanover Park,9,1,10,0.9,382,144,23.8,east-hanover-hanover-park,SFC,0.4773,0.5444,0.4996
Ramapo,11,2,13,0.8462,484,178,23.538,franklin-lakes-ramapo,SFC,0.5872,0.5651,0.5798
East Orange,9,2,11,0.8182,344,97,22.455,east-orange-east-orange,SFC,0.3318,0.4769,0.3802
Old Tappan,12,1,13,0.9231,435,152,21.769,old-tappan-old-tappan,SFC,0.6366,0.5394,0.6042
Butler,11,1,12,0.9167,426,165,21.75,butler-butler,NJIC,0.6236,0.5521,0.5998
Spotswood,8,2,10,0.8,328,112,21.6,spotswood-spotswood,Big Central,0.3918,0.4687,0.4174
Delran,10,2,12,0.8333,378,123,21.25,delran-delran,WJFL,0.5234,0.517,0.5213
West Deptford,9,2,11,0.8182,352,120,21.091,westville-west-deptford,WJFL,0.5559,0.5244,0.5454
Burlington City,11,2,13,0.8462,468,194,21.077,burlington-burlington-city,WJFL,0.5838,0.4667,0.5448
Mount Olive,8,2,10,0.8,368,160,20.8,flanders-mount-olive,SFC,0.5368,0.5405,0.538
Immaculata,9,3,12,0.75,489,242,20.583,somerville-immaculata,SFC,0.4192,0.5268,0.4551
Camden,12,2,14,0.8571,425,141,20.286,camden-camden,WJFL,0.6073,0.5569,0.5905
Southern,9,2,11,0.8182,314,92,20.182,manahawkin-southern,Shore,0.463,0.5206,0.4822
